2022-08-03 14:38:33.823 [http-nio-8080-exec-4] [traceId=72e5934a-0e3c-4b1b-8e1a-4acf2c900f78] INFO  c.PIMCS.PIMCS.filters.LoggingFilter.logResponse - Response: content-type:[application/javascript]
2022-08-03 14:38:33.822 [http-nio-8080-exec-1] [traceId=8edc9695-1927-496e-bd98-59af32108969] INFO  c.PIMCS.PIMCS.filters.LoggingFilter.logResponse - Response: content-type:[text/css]
2022-08-03 14:38:33.828 [http-nio-8080-exec-10] [traceId=6bb85a9b-70c0-40b3-8039-0592d07d2f3d] INFO  c.PIMCS.PIMCS.filters.LoggingFilter.logRequest - Request : GET uri=[/js/layouts/header.js] content-type=[null]
2022-08-03 14:38:33.835 [http-nio-8080-exec-7] [traceId=86822192-1857-46e4-b7f1-33d948197738] INFO  c.PIMCS.PIMCS.filters.LoggingFilter.logRequest - Request : GET uri=[/css/mat/readMat/modal/displaySettingModal.css] content-type=[null]
2022-08-03 14:38:33.836 [http-nio-8080-exec-6] [traceId=67375030-e851-428f-a1a4-3329e5158f9b] INFO  c.PIMCS.PIMCS.filters.LoggingFilter.logRequest - Request : GET uri=[/css/mat/readMat/readMat.css] content-type=[null]
2022-08-03 14:38:33.836 [http-nio-8080-exec-8] [traceId=fb4f4ceb-45cf-4fb6-bdff-21156de6be88] INFO  c.PIMCS.PIMCS.filters.LoggingFilter.logRequest - Request : GET uri=[/js/layouts/navigation.js] content-type=[null]
2022-08-03 14:38:33.836 [http-nio-8080-exec-9] [traceId=4c2ccfb9-3ad0-4930-b41a-be3b20986773] INFO  c.PIMCS.PIMCS.filters.LoggingFilter.logRequest - Request : GET uri=[/js/jquery.twbsPagination.js] content-type=[null]
2022-08-03 14:38:33.836 [http-nio-8080-exec-10] [traceId=6bb85a9b-70c0-40b3-8039-0592d07d2f3d] INFO  c.PIMCS.PIMCS.filters.LoggingFilter.logResponse - Response: content-type:[application/javascript]
2022-08-03 14:38:33.835 [http-nio-8080-exec-2] [traceId=c82acfa1-1140-4d45-b91c-f8d5f468ec55] INFO  c.PIMCS.PIMCS.filters.LoggingFilter.logRequest - Request : GET uri=[/css/mat/updateMatCommon.css] content-type=[null]
2022-08-03 14:38:33.854 [http-nio-8080-exec-10] [traceId=e8a6c44a-9867-4d42-9a7e-abba6f5a6d06] INFO  c.PIMCS.PIMCS.filters.LoggingFilter.logRequest - Request : GET uri=[/js/mat/readMat/readMatCommon.js] content-type=[null]
2022-08-03 14:38:33.855 [http-nio-8080-exec-2] [traceId=c82acfa1-1140-4d45-b91c-f8d5f468ec55] INFO  c.PIMCS.PIMCS.filters.LoggingFilter.logResponse - Response: content-type:[text/css]
2022-08-03 14:38:33.856 [http-nio-8080-exec-7] [traceId=86822192-1857-46e4-b7f1-33d948197738] INFO  c.PIMCS.PIMCS.filters.LoggingFilter.logResponse - Response: content-type:[text/css]
2022-08-03 14:38:33.857 [http-nio-8080-exec-6] [traceId=67375030-e851-428f-a1a4-3329e5158f9b] INFO  c.PIMCS.PIMCS.filters.LoggingFilter.logResponse - Response: content-type:[text/css]
2022-08-03 14:38:33.857 [http-nio-8080-exec-8] [traceId=fb4f4ceb-45cf-4fb6-bdff-21156de6be88] INFO  c.PIMCS.PIMCS.filters.LoggingFilter.logResponse - Response: content-type:[application/javascript]
2022-08-03 14:38:33.861 [http-nio-8080-exec-9] [traceId=4c2ccfb9-3ad0-4930-b41a-be3b20986773] INFO  c.PIMCS.PIMCS.filters.LoggingFilter.logResponse - Response: content-type:[application/javascript]
2022-08-03 14:38:33.874 [http-nio-8080-exec-10] [traceId=e8a6c44a-9867-4d42-9a7e-abba6f5a6d06] INFO  c.PIMCS.PIMCS.filters.LoggingFilter.logResponse - Response: content-type:[application/javascript]
2022-08-03 14:38:33.875 [http-nio-8080-exec-3] [traceId=0bf24cac-b157-421c-91e0-7fa9cb946dc2] INFO  c.PIMCS.PIMCS.filters.LoggingFilter.logRequest - Request : GET uri=[/js/mat/readMat/modal/displaySettingModal.js] content-type=[null]
2022-08-03 14:38:33.877 [http-nio-8080-exec-1] [traceId=617609ce-0391-44ec-9ab2-e4323ce1c8ff] INFO  c.PIMCS.PIMCS.filters.LoggingFilter.logRequest - Request : GET uri=[/js/mat/updateMat/updateMatModalCommon.js] content-type=[null]
2022-08-03 14:38:33.877 [http-nio-8080-exec-4] [traceId=cc90ff3b-f469-49c1-8a8c-534c7208d253] INFO  c.PIMCS.PIMCS.filters.LoggingFilter.logRequest - Request : GET uri=[/js/mat/readMat/readMatCardView.js] content-type=[null]
2022-08-03 14:38:33.876 [http-nio-8080-exec-5] [traceId=bdc0029f-52a2-40e8-8e54-cc7bf4dbda69] INFO  c.PIMCS.PIMCS.filters.LoggingFilter.logRequest - Request : GET uri=[/js/mat/readMat/readMatTable.js] content-type=[null]
2022-08-03 14:38:33.879 [http-nio-8080-exec-1] [traceId=617609ce-0391-44ec-9ab2-e4323ce1c8ff] INFO  c.PIMCS.PIMCS.filters.LoggingFilter.logResponse - Response: content-type:[application/javascript]
2022-08-03 14:38:33.879 [http-nio-8080-exec-5] [traceId=bdc0029f-52a2-40e8-8e54-cc7bf4dbda69] INFO  c.PIMCS.PIMCS.filters.LoggingFilter.logResponse - Response: content-type:[application/javascript]
2022-08-03 14:38:33.880 [http-nio-8080-exec-4] [traceId=cc90ff3b-f469-49c1-8a8c-534c7208d253] INFO  c.PIMCS.PIMCS.filters.LoggingFilter.logResponse - Response: content-type:[application/javascript]
2022-08-03 14:38:33.881 [http-nio-8080-exec-3] [traceId=0bf24cac-b157-421c-91e0-7fa9cb946dc2] INFO  c.PIMCS.PIMCS.filters.LoggingFilter.logResponse - Response: content-type:[application/javascript]
2022-08-03 14:38:33.958 [http-nio-8080-exec-2] [traceId=2724fa1d-e4b2-4939-8abe-984ec6855d4c] INFO  c.PIMCS.PIMCS.filters.LoggingFilter.logRequest - Request : GET uri=[/img/logo.png] content-type=[null]
2022-08-03 14:38:33.959 [http-nio-8080-exec-6] [traceId=8e1e263b-cccd-4608-830f-a922096d73a3] INFO  c.PIMCS.PIMCS.filters.LoggingFilter.logRequest - Request : GET uri=[/img/table_viewer_active_icon.png] content-type=[null]
2022-08-03 14:38:33.959 [http-nio-8080-exec-7] [traceId=18f4dac8-f35e-4397-aa6c-558a3db42a55] INFO  c.PIMCS.PIMCS.filters.LoggingFilter.logRequest - Request : GET uri=[/img/card-viewer-icon.png] content-type=[null]
2022-08-03 14:38:33.972 [http-nio-8080-exec-2] [traceId=2724fa1d-e4b2-4939-8abe-984ec6855d4c] INFO  c.PIMCS.PIMCS.filters.LoggingFilter.logResponse - Response: content-type:[image/png]
2022-08-03 14:38:33.974 [http-nio-8080-exec-6] [traceId=8e1e263b-cccd-4608-830f-a922096d73a3] INFO  c.PIMCS.PIMCS.filters.LoggingFilter.logResponse - Response: content-type:[image/png]
